próbacsüt

;;U1;U2
;;V;V
2014.06.12.;03:03:00;0.941;0.941
2014.06.12.;03:04:00;0.941;0.941
2014.06.12.;03:05:00;0.941;0.941
2014.06.12.;03:06:00;0.941;0.941
2014.06.12.;03:07:00;0.941;0.941
2014.06.12.;03:08:00;0.931;0.931
2014.06.12.;03:09:00;0.931;0.931
2014.06.12.;03:10:00;0.931;0.931
2014.06.12.;03:11:00;0.931;0.931
2014.06.12.;03:12:00;0.932;0.932
2014.06.12.;03:13:00;0.941;0.941
2014.06.12.;03:14:00;0.941;0.941
2014.06.12.;03:15:00;0.941;0.941
2014.06.12.;03:16:00;0.941;0.941
2014.06.12.;03:17:00;0.941;0.941
2014.06.12.;03:18:00;0.941;0.941
2014.06.12.;03:19:00;0.941;0.941
2014.06.12.;03:20:00;0.941;0.941
2014.06.12.;03:21:00;0.941;0.941
2014.06.12.;03:22:00;0.932;0.932
2014.06.12.;03:23:00;0.931;0.931
2014.06.12.;03:24:00;0.931;0.931
2014.06.12.;03:25:00;0.941;0.941
2014.06.12.;03:26:00;0.931;0.931
2014.06.12.;03:27:00;0.941;0.941
2014.06.12.;03:28:00;0.941;0.941
2014.06.12.;03:29:00;0.941;0.941
2014.06.12.;03:30:00;0.95;0.95
2014.06.12.;03:31:00;0.95;0.95
2014.06.12.;03:32:00;0.961;0.961
2014.06.12.;03:33:00;0.971;0.971
2014.06.12.;03:34:00;0.961;0.961
2014.06.12.;03:35:00;0.961;0.961
2014.06.12.;03:36:00;1.0;0.0
2014.06.12.;03:37:00;0.99;0.99
2014.06.12.;03:38:00;0.98;0.98
2014.06.12.;03:39:00;0.961;0.961
2014.06.12.;03:40:00;0.99;0.99
2014.06.12.;03:41:00;0.99;0.99
2014.06.12.;03:42:00;0.981;0.981
2014.06.12.;03:43:00;0.961;0.961
2014.06.12.;03:44:00;0.961;0.961
2014.06.12.;03:45:00;0.98;0.98
2014.06.12.;03:46:00;1.0;0.0
2014.06.12.;03:47:00;1.02;0.02
2014.06.12.;03:48:00;1.0;0.0
2014.06.12.;03:49:00;0.99;0.99
2014.06.12.;03:50:00;1.01;0.01
2014.06.12.;03:51:00;0.999;0.999
2014.06.12.;03:52:00;0.99;0.99
2014.06.12.;03:53:00;1.0;0.0
2014.06.12.;03:54:00;0.999;0.999
2014.06.12.;03:55:00;0.999;0.999
2014.06.12.;03:56:00;0.99;0.99
2014.06.12.;03:57:00;0.98;0.98
2014.06.12.;03:58:00;0.97;0.97
2014.06.12.;03:59:00;0.961;0.961
2014.06.12.;04:00:00;0.941;0.941
2014.06.12.;04:01:00;0.941;0.941
2014.06.12.;04:02:00;0.941;0.941
2014.06.12.;04:03:00;0.941;0.941
2014.06.12.;04:04:00;0.941;0.941
2014.06.12.;04:05:00;0.941;0.941
2014.06.12.;04:06:00;0.941;0.941
2014.06.12.;04:07:00;0.94;0.94
